cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
116,338,1,2014-05-30,0.0194,36199.950354610155,50032.03,13832.079645389853,1045.2198253419488,58,Muito Baixa,Enviada
715,45,1,2021-06-17,0.0131,12897.538285403733,19848.55,6951.011714596269,232.12468459986448,100,Baixa,Enviada
755,494,1,2021-08-10,0.0203,122236.3125510502,187154.36,64918.047448949765,3673.518950842969,56,Muito Baixa,Enviada
953,381,1,2011-02-23,0.0167,47784.6497568384,59530.61,11745.9602431616,955.0415596395399,109,Média Alta,Enviada
1046,176,1,2010-11-15,0.0211,178393.0382427647,214294.19,35901.15175723529,10219.65941480147,22,Alta,Enviada
1171,732,1,2020-05-04,0.0242,40476.95900792965,56464.88,15987.920992070354,20976.06400068516,2,Muito Baixa,Enviada
1434,560,1,2020-01-31,0.0169,137637.61548997936,192947.94,55310.32451002064,2861.6076046244925,100,Muito Baixa,Enviada
1744,159,1,2016-03-04,0.018,1317.1257616171436,1605.63,288.50423838285656,36.07866460785745,60,Média,Enviada
1864,776,1,2019-09-13,0.011,106127.47060972652,128472.96,22345.489390273477,1774.933848973979,98,Alta,Enviada
1928,421,1,2014-05-08,0.02,3455.6064890323746,6668.98,3213.373510967625,211.33355200167713,20,Média,Enviada
41,608,2,2021-03-04,0.0136,168359.67759110138,235794.55,67434.8724088986,35058.121491498576,5,Alta,Enviada
416,342,2,2015-10-11,0.0187,112227.04509632642,215028.75,102801.70490367358,3156.6754779627627,59,Baixa,Enviada
581,81,2,2022-03-19,0.0183,59901.04289653616,112333.57,52432.52710346384,1309.804213315197,100,Extrema,Enviada
678,788,2,2011-02-03,0.0165,111091.74640892056,167331.74,56239.993591079445,5459.059053843573,25,Média Alta,Enviada
1272,673,2,2012-10-13,0.0204,53294.78508946344,69167.42,15872.63491053656,1370.9594666509722,78,Extrema,Enviada
1469,895,2,2022-04-08,0.0199,38892.28169957142,68709.07,29816.78830042859,1298.5225831127636,46,Extrema,Enviada
91,117,3,2010-03-24,0.0174,71838.2390392274,111779.56,39941.32096077261,1616.7132431016391,86,Baixa,Enviada
