cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao,dia_da_semana
3100,256,2020-05-22,Saque,-130.0,Sexta-feira
28405,256,2021-06-29,Saque,-255.0,Terça-feira
1776,512,2020-05-17,Saque,-250.0,Domingo
14311,512,2020-09-06,Saque,-80.0,Domingo
25012,512,2020-10-16,Saque,-475.0,Sexta-feira
26883,512,2020-11-09,Saque,-210.0,Segunda-feira
35017,512,2021-04-13,Saque,-50.0,Terça-feira
46264,512,2021-05-01,Saque,-1160.0,Sábado
21340,768,2020-02-14,Saque,-170.0,Sexta-feira
64259,1,2019-08-11,Saque,-245.0,Domingo
28202,257,2022-12-26,Saque,-215.0,Segunda-feira
50107,257,2022-12-30,Saque,-175.0,Sexta-feira
9740,513,2022-09-19,Saque,-130.0,Segunda-feira
18182,513,2022-09-30,Saque,-140.0,Sexta-feira
65003,513,2022-12-30,Saque,-35.0,Sexta-feira
70201,513,2022-12-30,Saque,-250.0,Sexta-feira
47384,769,2019-11-28,Saque,-120.0,Quinta-feira
53165,769,2019-12-07,Saque,-360.0,Sábado
56160,769,2019-12-08,Saque,-130.0,Domingo
71523,769,2022-08-29,Saque,-130.0,Segunda-feira
51163,2,2022-12-30,Saque,-190.0,Sexta-feira
53595,2,2022-12-30,Saque,-35.0,Sexta-feira
71539,2,2022-12-30,Saque,-65.0,Sexta-feira
46162,258,2016-01-02,Saque,-215.0,Sábado
39404,514,2022-12-29,Saque,-345.0,Quinta-feira
42072,514,2022-12-29,Saque,-110.0,Quinta-feira
57169,514,2022-12-29,Saque,-85.0,Quinta-feira
58524,514,2022-12-29,Saque,-820.0,Quinta-feira
16523,770,2022-12-29,Saque,-75.0,Quinta-feira
23616,770,2022-12-29,Saque,-400.0,Quinta-feira
42140,3,2020-12-20,Saque,-100.0,Domingo
60681,3,2021-07-16,Saque,-80.0,Sexta-feira
2946,259,2019-11-14,Saque,-565.0,Quinta-feira
13546,259,2020-06-08,Saque,-250.0,Segunda-feira
51920,259,2022-12-29,Saque,-215.0,Quinta-feira
34167,771,2020-10-30,Saque,-860.0,Sexta-feira
35751,771,2020-11-30,Saque,-90.0,Segunda-feira
40239,4,2019-12-27,Saque,-35.0,Sexta-feira
41314,4,2020-01-13,Saque,-260.0,Segunda-feira
51740,4,2020-04-05,Saque,-735.0,Domingo
69658,4,2020-11-19,Saque,-140.0,Quinta-feira
24975,516,2020-11-03,Saque,-20.0,Terça-feira
